,alias,cats
86,village-bottle-shop-and-tasting-room-kapolei,"['Burgers', 'Beer Bar', 'Beer Gardens']"
87,supa-thai-kapolei-3,"['Thai', 'Desserts', 'Salad']"
88,eggs-n-things-kapolei,"['American', 'Breakfast & Brunch', 'Burgers']"
89,waka-sakura-sushi-restaurant-kapolei,['Sushi Bars']
90,minas-fish-house-kapolei-5,['Seafood']
91,pho-and-company-kapolei-14,"['Vietnamese', 'Noodles', 'Seafood']"
92,doraku-sushi-kapolei-kapolei,"['Sushi Bars', 'Japanese']"
93,noe-kapolei-5,['Italian']
94,best-side-pies-kapolei-4,['Pizza']
95,la-hiki-kapolei-3,"['Breakfast & Brunch', 'New American']"
96,la-tour-cafe-kapolei-2,"['Macarons', 'Sandwiches', 'Cafes']"
97,thai-lao-restaurant-kapolei,"['Thai', 'Laotian']"
98,longhis-kapolei-2,"['Seafood', 'Breakfast & Brunch', 'Cocktail Bars']"
99,juliez-restaurant-kapolei,"['Filipino', 'Seafood', 'Breakfast & Brunch']"
100,kazoku-sushi-kapolei,"['Sushi Bars', 'Japanese']"
101,mekiko-cantina-kapolei,['Tacos']
102,chiefs-luau-kapolei,"['Performing Arts', 'Hawaiian', 'Dinner Theater']"
103,my-ohanas-bbq-kapolei,"['Food Trucks', 'Barbeque']"
104,west-emperor-kapolei,['Dim Sum']
105,chun-wah-kam-noodle-factory-kapolei,"['Chinese', 'Noodles']"
106,gyu-kaku-japanese-bbq-kapolei,"['Barbeque', 'Japanese', 'Asian Fusion']"
107,808-craft-house-kapolei,"['Hawaiian', 'Cocktail Bars', 'Burgers']"
108,pho-h-and-h-vietnamese-and-japanese-restaurant-kapolei,"['Vietnamese', 'Japanese', 'Soup']"
109,taqueria-el-ranchero-kapolei-kapolei-3,['Mexican']
110,aloha-salads-kapolei,"['Sandwiches', 'Salad', 'Wraps']"
111,en-fuego-grill-kapolei,"['Hawaiian', 'Asian Fusion', 'Burgers']"
112,koa-pancake-house-kapolei,"['Breakfast & Brunch', 'Waffles']"
113,kickin-kajun-kapolei-6,"['Cajun/Creole', 'Seafood']"
114,ramen-bones-kapolei-4,"['Noodles', 'Ramen']"
115,assaggio-kapolei-kapolei-2,"['Italian', 'Salad', 'Seafood']"
116,hot-pot-heaven-kapolei-2,['Hot Pot']
117,kapolei-korean-bbq-kapolei,"['Korean', 'Barbeque']"
118,island-country-markets-at-ko-olina-kapolei-2,"['Grocery', 'Delis', 'Coffee & Tea']"
119,sprigs-grille-restaurant-kapolei,"['Seafood', 'New American', 'Cocktail Bars']"
120,the-hibachi-kailua,"['Seafood Markets', 'Beer, Wine & Spirits', 'Hawaiian']"
121,saigon-noodle-house-kailua,"['Vietnamese', 'Noodles']"
122,adela-s-country-eatery-kaneohe,"['Hawaiian', 'Noodles']"
123,kalapawai-café-and-deli-kailua-7,"['Delis', 'Wine Bars', 'Cafes']"
124,yamas-mediterranean-cuisine-kailua,"['Mediterranean', 'Greek']"
125,paia-fish-market-kailua-kailua,"['Fish & Chips', 'Seafood', 'New American']"
126,willow-tree-korean-restaurant-kailua,['Korean']
127,uahi-island-grill-kailua-5,"['Hawaiian', 'Asian Fusion', 'Breakfast & Brunch']"
128,easy-que-kailua,"['Barbeque', 'Comfort Food', 'New American']"
129,konos-northshore-kailua-3,"['Sandwiches', 'Breakfast & Brunch', 'Hawaiian']"
130,cinnamons-restaurant-kailua,"['Pancakes', 'Hawaiian']"
131,faria-kailua,"['Portuguese', 'Sandwiches', 'Cocktail Bars']"
132,sunset-noodle-house-kailua,"['Ramen', 'Noodles']"
133,gaslamp-kailua,"['Jazz & Blues', 'Steakhouses', 'Seafood']"
134,kizuna-japanese-steakhouse-and-sushi-kailua,"['Sushi Bars', 'Japanese', 'Hawaiian']"
135,buzzs-kailua-3,"['Steakhouses', 'Beer Bar', 'Cocktail Bars']"
136,maui-mikes-fire-roasted-chicken-kailua,"['American', 'Chicken Shop']"
137,over-easy-kailua,"['Breakfast & Brunch', 'Bakeries', 'Custom Cakes']"
138,new-kamana-kitchen-3-kailua,"['Indian', 'Desserts', 'Seafood']"
139,hot-pot-heaven-kailua-kailua,['Hot Pot']
140,the-garden-at-boardroom-kailua-2,"['Beer Gardens', 'Cafes', 'Pancakes']"
141,baci-bistro-kailua,"['Italian', 'Salad', 'Soup']"
142,nicos-kailua-kailua-2,['Seafood']
143,goen-dining-bar-kailua,"['Pan Asian', 'New American', 'Hawaiian']"
144,haleiwa-joes-at-haiku-gardens-kaneohe-3,"['Seafood', 'Hawaiian', 'Cocktail Bars']"
145,steak-rave-kailua,['Fast Food']
146,kim-chee-restaurant-kailua,['Korean']
147,mokes-bread-and-breakfast-kailua,"['Breakfast & Brunch', 'Coffee & Tea', 'Sandwiches']"
148,casablanca-kailua,['Moroccan']
149,lanikai-brewing-kailua-4,"['Brewpubs', 'Pizza', 'Cocktail Bars']"
150,paniolos-kailua-kailua,['Mexican']
151,22kailua-kailua,"['Breakfast & Brunch', 'Sushi Bars', 'Japanese']"
152,oh-my-grill-kailua-kailua-3,"['Barbeque', 'Burgers', 'Breakfast & Brunch']"
153,rai-rai-ramen-kailua,"['Ramen', 'Noodles']"
154,boots-and-kimos-homestyle-kitchen-kailua,"['Hawaiian', 'Breakfast & Brunch']"
155,tanaka-ramen-and-izakaya-kailua,"['Izakaya', 'Ramen', 'Desserts']"
156,the-food-company-restaurant-and-catering-kailua,"['Breakfast & Brunch', 'Salad', 'Korean']"
157,māla-market-kailua,['Sandwiches']
158,mahaloha-burger-kailua-kailua-2,"['Burgers', 'Hot Dogs', 'Fast Food']"
159,vietnam-deli-kailua,"['Vietnamese', 'Noodles', 'Sandwiches']"
160,ganesh-dosa-kailua-3,['Indian']
161,lemongrass-vietnamese-and-thai-cuisine-kailua,"['Vietnamese', 'Thai']"
162,k-and-k-bar-b-que-inn-kailua,"['Barbeque', 'Hawaiian']"
163,island-pita-kailua-2,"['Food Trucks', 'Mediterranean']"
164,trejo-s-island-tacos-kailua-2,"['Mexican', 'Pop-Up Restaurants']"
165,lilikoi-kitchen-kailua-2,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']"
166,l-and-l-hawaiian-barbecue-kailua-3,"['Barbeque', 'Hawaiian']"
167,bowles-burritos-kailua-4,"['Mexican', 'Bars']"
168,the-dish-kailua,"['Sports Bars', 'Hawaiian']"
169,frank-s-franks-brooklyn-italian-food-kailua-2,"['Italian', 'Food Trucks', 'Pizza']"
